"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"13-05-2014 15:00",221,493,33,1000,62.63,1.9,542
"27-12-2011 22:00",0,0,23,1010,65.94,3.4,0
"21-09-2013 05:00",0,0,26,1000,84.11,3.5,0
"24-03-2012 05:00",0,0,26,1010,87.52,1.7,0
"19-07-2014 08:00",250,32,30,1000,61.32,4,269
"07-07-2011 06:00",41,0,27,1000,73.87,2.5,41
"18-02-2012 21:00",0,0,25,1010,82.04,2.3,0
"15-05-2011 06:00",67,42,28,1000,82.8,3.3,75
"29-03-2012 07:00",132,338,29,1010,70.09,1.1,244
"19-08-2012 15:00",266,361,36,990,39.19,1.2,508
"14-04-2012 09:00",220,622,33,1010,54.02,2.7,703
"25-04-2012 16:00",132,498,30,1000,69.06,2.4,352
"17-05-2014 15:00",193,569,34,1000,58.26,0.6,563
"15-10-2011 14:00",189,655,30,1000,77.38,1.4,659
"02-06-2013 03:00",0,0,27,1000,84.69,3.3,0
"25-08-2014 14:00",373,115,30,1000,74.51,1.3,469
"02-12-2011 16:00",105,276,28,1000,68.1,1.2,176
"27-01-2012 17:00",54,71,25,1010,71.47,2.4,64
"13-03-2012 16:00",196,300,31,1000,52.76,3.5,326
"21-08-2014 01:00",0,0,27,1000,89.94,2.6,0
"24-07-2014 05:00",0,0,27,1000,68.93,4.6,0
"05-10-2013 10:00",205,736,31,1000,67.9,2.1,855
"10-04-2011 08:00",171,582,31,1010,66.82,0.9,510
"11-06-2012 13:00",221,703,42,990,18.57,2.1,874
"27-02-2013 00:00",0,0,26,1010,88.66,1,0
"23-03-2014 18:00",0,0,29,1000,49.66,3.1,0
"02-06-2011 13:00",246,595,34,1000,55.53,4.4,799
"28-07-2012 00:00",0,0,28,1000,77.89,3.3,0
"06-04-2012 23:00",0,0,28,1000,86.83,2.7,0
"31-03-2012 13:00",248,723,37,1000,24.41,3.2,925
"28-01-2011 04:00",0,0,24,1010,84.56,1.9,0
"21-12-2012 04:00",0,0,24,1010,81.81,2.9,0
"18-09-2013 23:00",0,0,27,1000,87.84,3.4,0
"10-05-2013 16:00",196,270,34,1000,57.29,0.9,316
"28-07-2011 12:00",275,591,33,1000,47.24,1.8,862
"06-11-2013 17:00",2,0,26,1010,77.74,3.3,2
"16-11-2013 04:00",0,0,26,1010,86.35,3.9,0
"18-04-2013 21:00",0,0,29,1000,79.36,3.6,0
"29-08-2011 09:00",320,28,28,1000,67.64,3.7,342
"02-05-2013 05:00",0,0,27,1000,92.4,3.1,0
"08-05-2012 17:00",85,44,31,1000,65.33,2.4,95
"16-04-2011 23:00",0,0,27,1000,84.66,2.6,0
"26-04-2012 04:00",0,0,27,1000,92.94,1.6,0
"16-01-2011 00:00",0,0,24,1010,80.03,2.6,0
"22-03-2012 20:00",0,0,28,1010,72.61,3,0
"05-09-2014 11:00",363,71,28,1000,83.03,1.7,433
"30-04-2012 13:00",196,752,32,1000,70.77,2.3,901
"18-05-2012 02:00",0,0,28,1000,91.81,3.7,0
"20-12-2014 11:00",249,641,28,1010,60.95,3.3,758
"18-09-2011 19:00",0,0,30,1000,72.21,2.3,0
"19-10-2014 20:00",0,0,26,1010,86.4,2.6,0
"02-07-2011 19:00",0,0,29,1000,70.27,3,0
"27-03-2013 23:00",0,0,26,1000,87.77,2.9,0
"08-02-2012 03:00",0,0,25,1000,85.32,1,0
"24-11-2014 20:00",0,0,25,1010,80.13,3.3,0
"30-10-2014 21:00",0,0,26,1010,83.36,3,0
"18-05-2011 19:00",0,0,30,1000,66.57,3.6,0
"30-03-2011 19:00",0,0,27,1010,65.1,3.5,0
"06-03-2014 11:00",300,665,34,1010,33.81,1.7,915
"18-06-2012 03:00",0,0,26,1000,70.72,4.5,0
"04-11-2011 17:00",2,0,27,1000,86.26,2.7,2
"03-07-2014 04:00",0,0,28,1000,72.79,3.5,0
"16-10-2013 08:00",164,584,30,1000,79.08,0.6,496
"19-12-2012 23:00",0,0,24,1010,80.34,3,0
"10-10-2011 22:00",0,0,28,1010,84.79,1.7,0
"13-03-2012 07:00",115,284,29,1010,72.42,1.5,197
